STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,SEX,Sex,AGE,Age,ATTAINMENT_LEV,Educational attainment level,EDUCATION_FIELD,Field of education,MEASURE,Measure,INCOME,Income,BIRTH_PLACE,Place of birth,MIGRATION_AGE,Age at migration,EDU_STATUS,Education status,LABOUR_FORCE_STATUS,Labour force status,DURATION_UNEMP,Unemployment duration,UNIT_MEASURE,Unit of measure,STATISTICAL_OPERATION,Statistical operation,WORK_TIME_ARNGMNT,Work time arrangement,QUESTIONNAIRE,Questionnaire name,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F07,"Engineering, manufacturing and construction",EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F05,"Natural sciences, mathematics and statistics",EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F09,Health and welfare (broad field level),EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F03,"Social sciences, journalism and information",EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F01,Education (broad field level),EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F08,"Agriculture, forestry, fisheries and veterinary",EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F02,Arts and humanities,EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F06,Information and Communication Technologies (ICTs) (broad field level),EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F10,Services (broad field level),EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_LSO_EA@DF_LSO_NEAC_EMP_FIELD(1.0),"Employment rates of tertiary-educated adults, by field of study, tertiary educational attainment, age group and gender",I,DNK,Denmark,_T,Total,Y25T64,From 25 to 64 years,ISCED11A_5T8,Tertiary education,F04,"Business, administration and law",EMPLOYMENT,Employment rate,_Z,Not applicable,_T,Total,_Z,Not applicable,ED_NED,In education or not in education,EMP,Employment,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,OBS,Observed,_Z,Not applicable,NEAC_FIELD,LSO-NEAC cyclical data collection on field of study,A3,Triennial,2024,,,,O,Missing value,,,0,Units,1,One
